Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,0,full_name,gid
Mesa County Sheriff Department,CO,12,,194.0,3,54.0,13,124,1303.0,224,960.0,119.0,,,,,,,,,,mesa county,"mesa county,CO",05000US08077
Montrose Police Dept,CO,12,19274.0,42.0,1,0.0,3,38,693.0,112,555.0,26.0,217.9,5.2,0.0,15.6,197.2,3595.5,581.1,2879.5,134.9,montrose,"montrose,CO",05000US08085
Pueblo County Sheriff Department,CO,12,,7.0,0,0.0,1,6,345.0,65,260.0,20.0,,,,,,,,,,pueblo county,"pueblo county,CO",05000US08101
Pueblo Police Dept,CO,12,109065.0,797.0,8,21.0,199,569,7030.0,1895,4642.0,493.0,730.8,7.3,19.3,182.5,521.7,6445.7,1737.5,4256.2,452.0,pueblo,"pueblo,CO",16000US0862220
Weld,CO,12,,151.0,4,9.0,5,133,804.0,248,492.0,64.0,,,,,,,,,,weld,"weld,CO",05000US08123
Fairfield Police Dept,CT,12,60122.0,33.0,0,2.0,13,18,1301.0,231,1000.0,70.0,54.9,0.0,3.3,21.6,29.9,2163.9,384.2,1663.3,116.4,fairfield,"fairfield,CT",05000US09001
Hartford Police Dept,CT,12,125203.0,1655.0,23,27.0,640,965,5319.0,1050,3467.0,802.0,1321.9,18.4,21.6,511.2,770.7,4248.3,838.6,2769.1,640.6,hartford,"hartford,CT",05000US09003
New Haven Police Dept,CT,12,129934.0,1870.0,17,55.0,844,954,6516.0,1451,4351.0,714.0,1439.2,13.1,42.3,649.6,734.2,5014.9,1116.7,3348.6,549.5,new haven,"new haven,CT",05000US09009
New London Police Dept,CT,12,27643.0,366.0,3,10.0,45,308,764.0,183,515.0,66.0,1324.0,10.9,36.2,162.8,1114.2,2763.8,662.0,1863.0,238.8,new london,"new london,CT",05000US09011
New Castle County Police Department,DE,12,,1076.0,14,66.0,284,712,6304.0,2213,3690.0,401.0,,,,,,,,,,new castle county,"new castle county,DE",05000US10003
Washington Metropolitan Police Dept,DC,12,632323.0,7448.0,88,236.0,3725,3399,29264.0,3519,22196.0,3549.0,1177.9,13.9,37.3,589.1,537.5,4628.0,556.5,3510.2,561.3,washington metropolitan,"washington metropolitan,DC",04000US11
Alachua County Sheriff Department,FL,12,,583.0,4,56.0,69,454,2403.0,740,1576.0,87.0,,,,,,,,,,alachua county,"alachua county,FL",05000US12001
Baker County Sheriff Department,FL,12,,63.0,0,4.0,9,50,293.0,51,228.0,14.0,,,,,,,,,,baker county,"baker county,FL",05000US12003
Bay County Sheriff Department,FL,12,,336.0,3,41.0,52,240,2694.0,702,1871.0,121.0,,,,,,,,,,bay county,"bay county,FL",05000US12005
Brevard County Sheriff Department,FL,12,,876.0,13,67.0,101,695,5233.0,1254,3788.0,191.0,,,,,,,,,,brevard county,"brevard county,FL",05000US12009
Charlotte County Sheriff Department,FL,12,,387.0,1,24.0,33,329,3229.0,861,2252.0,116.0,,,,,,,,,,charlotte county,"charlotte county,FL",05000US12015
Citrus County Sheriff Department,FL,12,,451.0,5,26.0,57,363,2837.0,737,1971.0,129.0,,,,,,,,,,citrus county,"citrus county,FL",05000US12017
Clay County Sheriff Department,FL,12,,684.0,5,33.0,71,575,3806.0,732,2959.0,115.0,,,,,,,,,,clay county,"clay county,FL",05000US12019
Collier County Sheriff Department,FL,12,,785.0,6,39.0,146,594,4776.0,1224,3322.0,230.0,,,,,,,,,,collier county,"collier county,FL",05000US12021
